id,read,math,prog,apt
1,34,40,3,352
2,39,33,3,449
3,63,48,2,648
4,44,41,2,501
5,47,43,2,762
6,47,46,2,658
7,57,59,2,800
8,39,52,2,613
9,48,52,3,531
10,47,49,1,528
11,34,45,2,584
12,37,45,3,610
13,47,39,3,586
14,47,54,2,769
15,39,44,3,402
16,47,44,3,521
17,47,48,2,478
18,50,49,3,629
19,28,43,1,603
20,60,57,2,633
21,44,61,1,724
22,42,39,3,515
23,65,64,2,748
24,52,66,2,634
25,47,42,1,630
26,60,62,2,800
27,53,61,2,652
28,39,54,1,621
29,52,49,1,683
30,41,42,2,531
31,55,52,1,625
32,50,66,3,605
33,57,72,2,698
34,73,57,2,679
35,60,50,1,691
36,44,44,1,612
37,41,40,3,572
38,45,50,2,625
39,66,67,2,734
40,42,43,1,551
41,50,45,2,549
42,46,55,3,622
43,47,43,2,557
44,47,45,3,678
45,34,41,3,467
46,45,44,2,631
47,47,49,2,625
48,57,52,2,584
49,50,39,3,485
50,50,42,1,568
51,42,42,1,593
52,50,53,2,590
53,34,46,3,529
54,47,46,1,661
55,52,49,2,579
56,55,46,3,502
57,71,72,2,794
58,55,40,3,529
59,65,63,2,703
60,57,51,2,635
61,76,60,2,765
62,65,48,1,732
63,52,60,1,537
64,50,45,3,648
65,55,66,2,667
66,68,56,3,576
67,37,42,3,476
68,73,71,2,797
69,44,40,3,548
70,57,41,1,599
71,57,56,1,766
72,42,47,3,596
73,50,53,2,716
74,57,50,2,661
75,60,51,3,548
76,47,51,2,595
77,61,49,2,689
78,39,54,2,577
79,60,49,2,633
80,65,68,2,713
81,63,59,2,668
82,68,65,2,800
83,50,41,3,571
84,63,54,1,636
85,55,57,1,691
86,44,54,1,682
87,50,46,1,605
88,68,64,2,618
89,35,40,3,522
90,42,50,2,671
91,50,56,3,666
92,52,57,1,739
93,73,62,2,800
94,55,61,2,782
95,73,71,2,800
96,65,61,2,749
97,60,58,2,613
98,57,51,3,648
99,47,56,1,640
100,63,71,2,793
101,60,67,2,800
102,52,51,2,698
103,76,64,2,676
104,54,57,2,630
105,50,45,2,598
106,36,37,3,404
107,47,47,3,629
108,34,41,1,637
109,42,42,1,574
110,52,50,3,620
111,39,39,1,622
112,52,48,2,689
113,44,51,2,556
114,68,62,2,725
115,42,43,1,571
116,57,54,2,681
117,34,39,3,565
118,55,58,1,629
119,42,45,1,584
120,63,54,2,589
121,68,53,3,788
122,52,58,2,779
123,68,56,1,605
124,42,41,3,614
125,68,58,2,768
126,42,57,1,715
127,63,57,2,770
128,39,38,2,508
129,44,46,1,527
130,43,55,1,685
131,65,57,2,649
132,73,73,2,800
133,50,40,3,535
134,44,39,1,474
135,63,65,2,696
136,65,70,2,792
137,63,65,2,800
138,43,40,3,427
139,68,61,2,800
140,44,40,3,399
141,63,47,3,566
142,47,52,3,523
143,63,75,3,800
144,60,58,1,712
145,42,38,3,458
146,55,64,2,688
147,47,53,2,619
148,42,51,3,565
149,63,49,1,727
150,42,57,3,554
151,47,52,3,633
152,55,56,2,687
153,39,40,3,665
154,65,66,2,796
155,44,46,1,614
156,50,53,2,618
157,68,58,1,733
158,52,55,1,657
159,55,54,2,592
160,55,55,2,746
161,57,72,2,800
162,57,40,3,702
163,52,64,2,800
164,31,46,3,516
165,36,54,3,604
166,52,53,2,669
167,63,35,1,563
168,52,57,2,695
169,55,63,1,779
170,47,61,2,712
171,60,60,2,678
172,47,57,2,618
173,50,61,1,650
174,68,71,2,750
175,36,42,1,454
176,47,41,2,586
177,55,62,2,688
178,47,57,3,640
179,47,60,2,609
180,71,69,2,800
181,50,45,2,662
182,44,43,2,462
183,63,49,2,591
184,50,53,3,496
185,63,55,2,647
186,57,63,2,681
187,57,57,1,800
188,63,56,2,796
189,47,63,2,669
190,47,54,2,661
191,47,43,2,567
192,65,63,2,800
193,44,48,2,666
194,63,69,2,800
195,57,60,1,727
196,44,49,2,539
197,50,50,2,594
198,47,51,2,616
199,52,50,2,558
200,68,75,2,800
